,Date,DW
0,1993-01,-1.9331574027405418
1,1993-02,0.614026865289915
2,1993-03,0.47995351295928246
3,1993-04,1.2912863241995145
4,1993-05,0.8953904883231972
5,1993-06,0.4546213252721998
6,1993-07,-0.6992349179517023
7,1993-08,-1.0640708875923905
8,1993-09,-1.7647061305938077
9,1993-10,-1.4212471765505401
10,1993-11,-2.3186640163858665
11,1993-12,-1.2922875631150559
12,1994-01,-1.2737311967802507
13,1994-02,-0.6926956878677211
14,1994-03,-0.41293605115256454
15,1994-04,-0.6937750861406188
16,1994-05,-0.26745987025789375
17,1994-06,-0.17913165442723153
18,1994-07,-0.4917322737542124
19,1994-08,-0.4916397158635555
20,1994-09,-0.185438636710553
21,1994-10,-0.30560320671660596
22,1994-11,-2.181448088211471
23,1994-12,-0.18654631742072794
24,1995-01,0.9917787969468129
25,1995-02,0.3342759949733052
26,1995-03,0.626730866028889
27,1995-04,-0.031011837688558357
28,1995-05,-0.6823262085755536
29,1995-06,-0.17936617340215155
30,1995-07,-0.052399585878909714
31,1995-08,-0.3637520580909517
32,1995-09,-0.031659250931406126
33,1995-10,-0.161482455784745
34,1995-11,-0.211046063540792
35,1995-12,0.34728734704140674
36,1996-01,-0.7196864144126274
37,1996-02,-0.34018671972302733
38,1996-03,-0.3007251928755806
39,1996-04,0.44030188444566265
40,1996-05,0.17631918146830727
41,1996-06,-0.2622120296242
42,1996-07,-0.4766348399610955
43,1996-08,-0.2987749885416639
44,1996-09,-0.16124368324083047
45,1996-10,-0.23571981045812446
46,1996-11,-0.6454369304967533
47,1996-12,-0.006565096404892001
48,1997-01,-0.006298179984504125
49,1997-02,0.7761469319592869
50,1997-03,0.32174359691204946
51,1997-04,0.7952593732034625
52,1997-05,0.4298397461167205
53,1997-06,1.0969301295482876
54,1997-07,1.0283763362811749
55,1997-08,0.9197931884996257
56,1997-09,1.0652630468913444
57,1997-10,1.0894521034872267
58,1997-11,2.608463478488456
59,1997-12,2.3271941490766386
60,1998-01,1.9517455698140362
61,1998-02,4.107112563303776
62,1998-03,1.0089630462192039
63,1998-04,0.004025428851992362
64,1998-05,-0.6498746681133261
65,1998-06,-0.8215537124458282
66,1998-07,-0.39463622842138596
67,1998-08,-0.09098800093740494
68,1998-09,-0.2832533897045167
69,1998-10,-0.6453285281310696
70,1998-11,0.12761592008666553
71,1998-12,-0.24432486845032744
72,1999-01,-1.9876920440886627
73,1999-02,0.21126639948587914
74,1999-03,0.7394612185192971
75,1999-04,-0.19455726722173455
76,1999-05,-0.24475134703878734
77,1999-06,0.21539265919643136
78,1999-07,0.14643066420911938
79,1999-08,0.21924696772269534
80,1999-09,0.2662960284876549
81,1999-10,-0.6275160135493273
82,1999-11,0.8406830103350227
83,1999-12,-0.4254790201847936
84,2000-01,-1.859645049297527
85,2000-02,0.46905386733653215
86,2000-03,1.0653217965125614
87,2000-04,0.4997202388655132
88,2000-05,0.8227893052770135
89,2000-06,0.6542731342896734
90,2000-07,0.4253746430444366
91,2000-08,0.26960869750863903
92,2000-09,-0.2924028592394863
93,2000-10,-0.1394840977438304
94,2000-11,-0.3174739092407692
95,2000-12,0.048055759929380555
96,2001-01,0.3004042295941613
97,2001-02,-0.7558364241302364
98,2001-03,-0.34591832643360426
99,2001-04,-0.9275186530608437
100,2001-05,0.3096112700240007
101,2001-06,0.3886602753842692
102,2001-07,-0.07560175348542733
103,2001-08,0.6524372437526982
104,2001-09,0.8548853757316219
105,2001-10,0.05267801751483812
106,2001-11,1.2639722571913785
107,2001-12,-0.02966412364493728
108,2002-01,0.22402690063427286
109,2002-02,0.17696501424292807
110,2002-03,0.5721724057679133
111,2002-04,-0.8619834789217582
112,2002-05,-0.9746750158119682
113,2002-06,0.062226124900589916
114,2002-07,0.38228282794992874
115,2002-08,0.08456687549446282
116,2002-09,-0.26818738827851774
117,2002-10,-0.6288286021931263
118,2002-11,1.6849498897586344
119,2002-12,2.059971374169891
120,2003-01,2.2129559004728567
121,2003-02,-0.2523769239232168
122,2003-03,-0.009998610016441978
123,2003-04,0.3481104573285347
124,2003-05,0.5808301430705044
125,2003-06,0.2714598423202258
126,2003-07,0.44601847417213125
127,2003-08,0.7345429929239002
128,2003-09,1.2515453612933125
129,2003-10,1.8359672733923118
130,2003-11,-0.08785879103454754
131,2003-12,0.8974222875450895
132,2004-01,1.0317433814019437
133,2004-02,1.5723244756066859
