,Date,NGAO
0,1993-01,-0.12368120110435199
1,1993-02,0.17042684957890628
2,1993-03,0.5316220718648745
3,1993-04,0.6433901363351585
4,1993-05,0.854926401820983
5,1993-06,1.0384255765715673
6,1993-07,1.3271138989136244
7,1993-08,1.6148267770052112
8,1993-09,1.4033394089856572
9,1993-10,1.672060526777517
10,1993-11,1.5442619514463096
11,1993-12,1.3953922540521824
12,1994-01,1.4277912619573987
13,1994-02,1.0761374951637734
14,1994-03,0.9175563309640578
15,1994-04,0.917786207936114
16,1994-05,0.5895783445085461
17,1994-06,0.5342964038800607
18,1994-07,0.41655501295880487
19,1994-08,0.49434649086178895
20,1994-09,0.8242280653563098
21,1994-10,0.5943533904255801
22,1994-11,-0.15447361337152815
23,1994-12,-0.5547446421982745
24,1995-01,0.08822150486946208
25,1995-02,0.9847498827326185
26,1995-03,0.5862230565913708
27,1995-04,0.3948148352725135
28,1995-05,0.7418954999923194
29,1995-06,0.37428192110291836
30,1995-07,0.16688193944461402
31,1995-08,-0.3214556220719824
32,1995-09,0.3341198195693329
33,1995-10,0.1618277182297587
34,1995-11,0.16528623506107762
35,1995-12,0.059468027575533544
36,1996-01,0.10639087676242226
37,1996-02,0.04888688421750092
38,1996-03,0.2377673504200682
39,1996-04,0.45354776327953744
40,1996-05,0.6511352376030162
41,1996-06,0.629861357139745
42,1996-07,0.3641294965721369
43,1996-08,0.31072057110946466
44,1996-09,0.21007673339823915
45,1996-10,0.08910869509507684
46,1996-11,-0.04845107989803059
47,1996-12,-0.15939111717222076
48,1997-01,0.04908015992628356
49,1997-02,0.33587104858481187
50,1997-03,-0.10289119099248044
51,1997-04,-0.0848784019312748
52,1997-05,0.22120308964237004
53,1997-06,0.16884173074659506
54,1997-07,0.2554480697800613
55,1997-08,0.43865255447701806
56,1997-09,0.769042957578785
57,1997-10,0.9271907773305329
58,1997-11,0.4770540282014933
59,1997-12,0.5200306622415204
60,1998-01,-0.012093350802588785
61,1998-02,0.5269258141599338
62,1998-03,0.7715019513964486
63,1998-04,0.5629786080086484
64,1998-05,0.33509622002390343
65,1998-06,0.5018489453287704
66,1998-07,0.320426399246744
67,1998-08,0.2534948370857482
68,1998-09,-0.3912226237423609
69,1998-10,-0.4458103325576728
70,1998-11,-0.7030593682442182
71,1998-12,-0.7008232826976656
72,1999-01,-0.8238447321700845
73,1999-02,-1.6983036160722318
74,1999-03,-1.3402293673194543
75,1999-04,-1.0315320391945997
76,1999-05,-1.27142572520053
77,1999-06,-1.3931950008347815
78,1999-07,-1.6440582833535125
79,1999-08,-1.5204703362972865
80,1999-09,-1.493034901548527
81,1999-10,-1.4480706111806836
82,1999-11,-1.7385063231292353
83,1999-12,-1.3117050484139439
84,2000-01,-2.16404539372704
85,2000-02,-1.7496849730183555
86,2000-03,-1.338147315898964
87,2000-04,-1.5891209928354126
88,2000-05,-1.8076536665261633
89,2000-06,-1.1800320455695763
90,2000-07,-1.2822183032291223
91,2000-08,-1.4143638994255325
92,2000-09,-1.2844918810356314
93,2000-10,-1.3759923929633822
94,2000-11,-0.9954624384303653
95,2000-12,-0.7551675749264738
96,2001-01,-0.7654249118641564
97,2001-02,-0.8602864313196799
98,2001-03,-0.5895544592573811
99,2001-04,-1.0514474230670512
100,2001-05,-1.1134307038058335
101,2001-06,-1.2130842406755207
102,2001-07,-1.0510657742558827
103,2001-08,-1.2232095458730505
104,2001-09,-1.5390208464159438
105,2001-10,-1.6589743911933066
106,2001-11,-1.4599059460450161
107,2001-12,-1.8497547965503172
108,2002-01,-1.582633806617442
109,2002-02,-1.8691538311468148
110,2002-03,-1.3324884628597429
111,2002-04,-1.1739863168145346
112,2002-05,-1.0960586403888946
113,2002-06,-0.8710168062255272
114,2002-07,-0.4382384843724393
115,2002-08,-0.937117208800202
116,2002-09,-0.900131524606433
117,2002-10,-0.4152028329153198
118,2002-11,0.2436344993822856
119,2002-12,0.037898720484912274
120,2003-01,0.7550979885786749
121,2003-02,1.3534016817147603
122,2003-03,0.7990559068360558
123,2003-04,0.4841602014844188
124,2003-05,0.6065843899182874
125,2003-06,0.7031257177124917
126,2003-07,0.9843551742051477
127,2003-08,0.8926197569918726
128,2003-09,0.7563183794130823
129,2003-10,0.6690843357517203
130,2003-11,0.5617935859400232
131,2003-12,0.08102229990273316
132,2004-01,0.5485373144286267
133,2004-02,0.6464066528577871
134,2004-03,0.7167072758546518
135,2004-04,0.8781884809409959
136,2004-05,1.3798123053890496
137,2004-06,1.2366364221625483
138,2004-07,1.027911381295545
139,2004-08,1.1442980065802966
140,2004-09,1.0552479385244062
141,2004-10,0.8625886736192019
142,2004-11,1.0364548637830444
143,2004-12,1.3736423796854398
144,2005-01,1.2060814218584774
145,2005-02,1.46833710119186
146,2005-03,1.4988329865925287
147,2005-04,1.3101820783780231
148,2005-05,1.4993164622282824
149,2005-06,1.3576466023910778
150,2005-07,1.7227565380414576
151,2005-08,1.5515171547032618
152,2005-09,1.3589510074243838
153,2005-10,0.6509595573312746
154,2005-11,0.6503741990527677
155,2005-12,0.7258503630425898
156,2006-01,0.675070107148089
157,2006-02,0.30262584688086974
158,2006-03,-0.1489710478596197
159,2006-04,0.3242596796633186
160,2006-05,0.09634840440975431
161,2006-06,0.08775276328645625
162,2006-07,0.07443154919712948
163,2006-08,0.06205109365626577
164,2006-09,0.062356256505843456
165,2006-10,0.5255373726895638
166,2006-11,0.1820557513778291
167,2006-12,-0.40035056426809573
168,2007-01,-0.3774237982214915
169,2007-02,-0.688901839631961
170,2007-03,-0.6323513102670946
171,2007-04,-0.678941282358463
172,2007-05,-0.44555989768764076
173,2007-06,-1.2067544718879608
174,2007-07,-0.7404656301740367
175,2007-08,-0.5931621402204421
176,2007-09,-0.40547725891962777
177,2007-10,-1.008552041877034
178,2007-11,-0.15230013381962354
179,2007-12,-0.33477881682187105
180,2008-01,-0.7484114913937165
181,2008-02,-0.9973684201112738
182,2008-03,-0.854586793408161
183,2008-04,-1.08029296242545
184,2008-05,-1.327707821030456
185,2008-06,-1.5870712657022892
186,2008-07,-1.5211849685468595
187,2008-08,-1.580221451489643
188,2008-09,-1.6357407947944178
189,2008-10,-1.6614005069236901
190,2008-11,-1.5082977585392878
191,2008-12,-1.0289580693216953
192,2009-01,-1.2844153498440205
193,2009-02,-1.8005317699770491
194,2009-03,-1.3872831134715433
195,2009-04,-1.367070727857797
196,2009-05,-1.3931217391329291
197,2009-06,-1.1566831886953792
198,2009-07,-1.0717854112024874
199,2009-08,-0.9723449832776536
200,2009-09,-1.0124615316080212
201,2009-10,-0.8123116635766365
202,2009-11,-1.0377290889609652
203,2009-12,-0.3516016642842142
204,2010-01,-0.2232116499389421
205,2010-02,-0.1494147617365377
206,2010-03,-0.356355789387021
207,2010-04,-0.32542645928266967
208,2010-05,-0.6756385635961624
209,2010-06,-0.3405458996581957
210,2010-07,-0.2114820242545804
211,2010-08,-0.26697445765458044
212,2010-09,-0.45559947862030625
213,2010-10,-0.3566350268409681
214,2010-11,-0.2823034396290797
215,2010-12,-0.7350390562574238
216,2011-01,-0.1897274194427141
217,2011-02,-0.6100776267037974
218,2011-03,-0.40266937626066696
219,2011-04,-0.6765516633366012
220,2011-05,-0.845916359733638
221,2011-06,-0.5941309830819842
222,2011-07,-0.4946945030768182
223,2011-08,-0.6073014911209941
224,2011-09,-0.9359618023446303
225,2011-10,-0.6750971642593543
226,2011-11,-0.7144054475144908
227,2011-12,-0.49730571562378795
228,2012-01,-0.8818803618757008
229,2012-02,-0.7326550120923548
230,2012-03,-1.2754175572171922
231,2012-04,-1.0508920204447891
232,2012-05,-0.8120929685362062
233,2012-06,-0.9145784282984697
234,2012-07,-0.7578708220775645
235,2012-08,-1.0032778871009733
236,2012-09,-0.6021431572529207
237,2012-10,-0.49974213569903253
238,2012-11,-0.5346310286956191
239,2012-12,-0.7437835534264539
240,2013-01,-0.7054847973082224
241,2013-02,-0.71386726685204
242,2013-03,-0.4441216785913061
243,2013-04,-0.6259871036581137
244,2013-05,-0.7488109426378882
245,2013-06,-0.5743037540213265
246,2013-07,-0.6246640286153202
247,2013-08,-0.5796658908707643
248,2013-09,-0.4486059719876532
249,2013-10,-0.1069228867963228
250,2013-11,0.0325936191028311
251,2013-12,0.2666701876099176
252,2014-01,0.45807261938555416
253,2014-02,0.28417048998695826
254,2014-03,1.0630437646827988
255,2014-04,0.9223640411571038
256,2014-05,1.099788509414962
257,2014-06,1.0527293363945507
258,2014-07,1.1833571123551574
259,2014-08,1.4987159385327393
260,2014-09,1.640596822124919
261,2014-10,1.1780824106562666
262,2014-11,1.3704188626388145
263,2014-12,2.0462994924994904
264,2015-01,2.415963446099956
265,2015-02,2.5592573214695435
266,2015-03,2.5737016053061166
267,2015-04,2.2761853488871933
268,2015-05,2.0430421484098806
269,2015-06,2.1725640495962057
270,2015-07,2.0734165820772374
271,2015-08,1.9829443980533206
272,2015-09,2.0672746157920927
273,2015-10,1.8418404513155182
274,2015-11,1.5742946942054916
275,2015-12,1.2109488094362744
276,2016-01,1.0244758540700332
277,2016-02,1.23755422943453
278,2016-03,1.1926979146947028
279,2016-04,1.3350722882510047
280,2016-05,1.2871311237822767
281,2016-06,1.3753533449085962
282,2016-07,0.85821033050761
283,2016-08,0.8758993981054976
284,2016-09,0.9042902915051796
285,2016-10,0.8110627488605221
286,2016-11,0.932554759943282
287,2016-12,0.9965316318004339
288,2017-01,0.30338480690694014
289,2017-02,0.27167095704591215
290,2017-03,-0.0829776246565645
291,2017-04,-0.03812586408110882
292,2017-05,-0.1589962305720549
293,2017-06,-0.18687018079441753
294,2017-07,-0.28651065146548443
295,2017-08,-0.12875828483625434
296,2017-09,-0.38645335073197884
